originator;operator_group_id
ALIPAY;2
Alpari;2
Amazon;2
AMWAY;2
Apple;2
authmsg;2
Badoo;2
BangkokAir;2
Betfair;2
BlaBlaCar;2
Blockchain;2
Booking;2
Booking.com;2
DHL;2
DHLEXPRESS;2
Electropay;2
Facebook;2
Galaxy;2
GameXP;2
Google;2
ICloud;2
IMO;2
INFOSMS;2
Instagram;2
INTERCOM;2
INTINF;2
KakaoTalk;2
LINe;2
LPTracker;2
Lufthansa;2
MaxiMarkets;2
Microsoft;2
MoneyTalk;2
myCom;2
NAVERLINE;2
NixMoney;2
NXSMS;2
OKPAY;2
OTPSMS;2
PayAnyWay;2
Payeer.com;2
PayPal;2
PHILIPS;2
PlayPass;2
Samsung;2
Skype;2
Snapchat;2
Telegram;2
Twitter;2
Uber;2
Viber;2
WalletOne;2
Wargaming;2
WeChat;2
WhatsApp;2
WhatsCall;2
Xiaomi;2
Yahoo;2
+hotel.de;4
PLEIN;4
AbsGamers;4
AcademPoker;4
Adobe;4
Agoda;4
AGROPOISK;4
Air France;4
Airbnb;4
aliexpress;4
AliPay;4
Alpari;4
alshaer.com;4
AMAZON;4
AMWAY;4
APPCODE;4
Apple;4
Azure;4
BADOO;4
BangkokAir;4
WstrnUnion;4
Alibaba;4
AppleiCloud;4
AppleStore;4
Autosprite;4
Baanan;4
Badoo.com;4
BANDUS;4
Blendr;4
CamScanner;4
Chappy;4
ENERGOTRUCK;4
Extranet;4
F-Club;4
Fiesta;4
GitHub;4
Glopart.ru;4
HotorNot;4
huawei;4
Imo Code;4
IQ+Option;4
JD.ru;4
Confide;4
cubie;4
Dafiti;4
Deliveroo;4
fanatics;4
Flipkart;4
Flipkey;4
foursquare;4
Freshdesk;4
Generali;4
GFG;4
GO SMS;4
FOREXCLUB;4
Ayyo;4
nyxcosmetic;4
UberService;4
BeeTalk;4
Betfair;4
BingoHall;4
Bitcoin;4
BlaBlaCar;4
BLINDSPOT;4
Blockchain;4
Booking;4
Booking.com;4
Bumble;4
CallsApp;4
ChatOn;4
Chitchat;4
Dating.com;4
DHL;4
Ding;4
Di-pay.club;4
Dropbox;4
eBay;4
eduget.com;4
XBOX games;4
KakaoC;4
Kopikot;4
LeEco;4
LeRee;4
MuzApp;4
NixMoney ;4
NumBuster;4
NXverify;4
Outbox;4
Pingdom;4
Quantum;4
Roamer;4
SAP;4
Skillaz;4
SNOW;4
Stalker;4
Tango;4
Tencent QQ;4
Truecaller;4
UBERRUSSIA;4
Vestiaire;4
Hive;4
HP;4
ICICI Bank;4
ING;4
Itau;4
Jabong;4
Jumia;4
Kakao ;4
Keeper;4
Kik;4
Leomaster;4
LG;4
Salesforce;4
Ayyo Movies;4
Urban Decay;4
CallMe;4
Electropay;4
Emirates;4
ePayService;4
Eskhata;4
EVENTUM;4
Evernote;4
Ezycloud;4
FACEBOOK;4
FastFriend;4
Firechat;4
Galaxy;4
GameNews;4
gamestore;4
GameXP;4
Google;4
GroupMe;4
Hangouts;4
Helixmoney;4
Hotmail;4
Huggle;4
XGame;4
weibo;4
WURussia;4
Xapo;4
Yolla;4
Youtube ;4
ZambaCaller;4
ZCLOUD;4
BlackLane;4
VFS;4
VFSSMS;4
UOB;4
AmberShark;4
EPA;4
FML Group;4
Lazada;4
NetOne;4
Nimses;4
ringID;4
Ptester;4
Exmo;4
Logmein;4
M4Marry;4
Mapfre;4
Mayzus;4
Messenger;4
Metlife;4
mgm;4
Mico;4
Mirage;4
Mo+;4
Mobu;4
QUELLE;4
Efun;4
4game;4
Reebok;4
IKEAWIFI;4
iCloud;4
IKEA FAMILY;4
IMO;4
Infomessage;4
instaforex;4
Instagram;4
INTERCOM;4
Investec;4
iTunes;4
JackpotCity;4
JoinUP;4
KakaoTalk;4
KLM;4
LINE;4
LinkApp;4
LinkedIn;4
LITB;4
Zurich;4
Lufthansa;4
LuLu;4
Xiaomi;4
24option;4
AMD;4
beline;4
Dukascopy;4
foodpanda;4
Glide;4
Homestay;4
Jongla;4
Markets.com;4
Meitu;4
NetEase;4
Nettia;4
NOTICE;4
Path;4
RINGCV;4
ROBOFOREX;4
Tantan;4
Trade12;4
Twoo;4
ukit;4
xCFD;4
Myntra;4
Namshi;4
netcode;4
NetQin;4
Nobelapp;4
numberbook;4
Nymgo;4
oamc;4
Olala;4
OTO Global;4
Pal+;4
LaRedoute;4
TRPMSG;4
Fayrix;4
WU Russia;4
Payture;4
MasterCard;4
MaxiMarkets;4
McAfee;4
MeetMe;4
Microsoft;4
MOGO;4
MS_Verify;4
YouTube;4
NAVERLINE;4
Netflix;4
NFC;4
NixMoney;4
nlstar.com;4
Norton;4
NXSMS;4
OKPAY;4
OnApp;4
OnlineGames;4
ONVERIFY;4
XMATTERS;4
Zalo;4
FMl;4
m-service;4
BetBoom;4
BingoLive24;4
Esports.bet;4
FXTM;4
svadba.com;4
VIPole;4
aliases;4
ABRITEL;4
KFC BATTLE;4
AIRASIA;4
AJURA;4
ALLIANZ;4
AMBANK;4
ANYTALK;4
ANZBANK;4
AOL;4
Quantas;4
ringhop;4
Santander;4
Seven Luck;4
Shopclues;4
Shots;4
Shpock;4
Slack;4
smartcycle;4
Snapdeal;4
Soundcloud;4
Space VoIP;4
Oriflame;4
Shell;4
IKEA;4
PLUSPAY;4
FISHKA KFC;4
ooVoo;4
Pay Pro;4
PayAnyWay;4
PayBox;4
Payeer.com;4
PayLater;4
PayMe;4
PayPal;4
Paysystem;4
PHILIPS;4
play2money;4
PlayPass;4
PokerStars;4
PRMTRC;4
Qiwi;4
Reservise;4
Samsung;4
SAS;4
Skype;4
Snapchat;4
Yahoo;4
APPLEREQ;4
APPLERESP;4
ARENANET;4
AUTHY;4
AVAST;4
AVIVA;4
AYABANK;4
AZARLIVE;4
AZNOG;4
BARODABANK;4
belneft;4
BENBRIA;4
BIGO;4
BLUEMAIL;4
BMOBILE;4
BOOKDOC;4
Betmaster;4
BOSSREV;4
BOURSORAMA;4
BULLIONSTAR;4
Target Hero;4
Tata motors;4
Telintel;4
Tencent;4
Trello;4
Tribe;4
Trium;4
tumblr;4
UC Browser;4
v2uclub;4
Vonage;4
Fonbet;4
MANGO;4
CNET;4
Wakie;4
SOMA;4
Steam;4
TAOBAO;4
Telegram;4
TeleVerify;4
Topface;4
Twitter;4
Uber;4
UltraPay;4
Verify;4
Viber;4
VisaService;4
Wallet One;4
Wargaming;4
waze;4
WeChat;4
WhatsApp;4
WhatsCall;4
Wire;4
WORLDTRACER;4
CACTUS;4
CAFETRIO;4
CEX;4
CIMB;4
CISCO;4
CLEANMASTER;4
COINBASE;4
COMFI;4
CONNECT;4
CORNERCARD;4
COUCHSURF;4
CRESCENDOCT;4
DAILYDEAL;4
DINGTONE;4
DOMLEC;4
DUO;4
FAMILO;4
FOREX;4
FOTOPLACE;4
FREELANCER;4
FRESHFOREX;4
BNP Paribas;4
btree4u;4
Canara Bank;4
catchall;4
Clicksure;4
CM backup;4
CMCM;4
Coco;4
HDFC Bank;4
HelloFresh;4
Hike;4
BaltPlay;4
Adidas;4
Eteam;4
ShoppingMap;4
MAC;4
GOLDHILL;4
GOSMS;4
GPS;4
GRAB;4
GRABPAY;4
HIVEMOBILE;4
HLBBANK;4
HOMEAWAY;4
HSBC;4
IMDB;4
IMESSAGE;4
IROKOTV;4
LASTPASS;4
LIBON;4
LIFE360;4
LOKLOK;4
LYFT;4
MAILCHIMP;4
MAILGUN;4
MALAYSIAAIR;4
MAUKERJA;4
MAXTHON;4
MAYBANK;4
MCDONALDS;4
MCENT;4
MONEYGRAM;4
MONZOON;4
MOPLUS;4
MQL5;4
mytaxi.com;4
NAMECHEAP;4
NAVER;4
NEXTPLUS;4
OFFICE365;4
OTP_BASIC;4
PAYEER;4
PAYTOO;4
PERISCOPE;4
PIRATE;4
QUISK;4
REBTEL;4
Wasabee;4
Wells Fargo;4
Whoscall;4
Xender;4
Yik Tak;4
Money Map;4
MSFT;4
Mxit;4
My7Club;4
Life 360;4
Livechat;4
Kwai ;4
KFC;4
OTPSMS;4
G2A ;4
Privileges;4
RINBOO;4
ROYALMOBILE;4
SAGICOR;4
SAYHI;4
SBIINB;4
SHADII;4
SKOUT;4
SKRILL;4
smartcall;4
SNAAPY;4
STANCHART;4
TALKU;4
TAPEACALL;4
TIMEHOP;4
TINDER;4
TRANSFER;4
TRAVELOKA;4
TRIPADVISOR;4
VERSY;4
VIPPIE;4
VOXOFON;4
VOXOX;4
VOXOXO;4
WAZAPP;4
WebMoney;4
WECALL;4
Wickr;4
WIFICHANGI;4
WORDPRESS;4
WOWAPP;4
XOOM;4
YEECALL;4
YUP;4
YUPPTV;4
ZOHO;4
AppMe;4
Askmebazaar;4
ATC Cable;4
AXA;4
Axisbank;4
Barclays;4
BBVA;4
Spotify;4
Square;4
Talkray;4
Zalora;4
Phhhoto;4
pinterest;4
PowerGold;4
ofo;4
Zendesk;4
Lloyds;4
MANGOMan;4
Unilever;4
Drotr ;4
Zenly;4
SPICApp;4
Backblaze;4
Paymo;4
PepsiCo;4
Upwork;4
AGROBAZAR;4
AIG;4
AIRSERBIA;4
Altassian;4
TWILIO;4
BBM;4
BBT;4
FLIPAGRAM;4
FREESPIN;4
GENERIC;4
KIBO;4
LPTracker;4
MEECHA;4
NUTCALL;4
oDesk;4
OMGATES;4
OTP;4
SIMBOX;4
APPBOOKING;4
GAMEFLIP;4
MQL;4
SESSUPPORT;4
SINGAL;4
STRIPE;4
STUDYPOOL;4
WATSONS;4
Hilti;4
Jo Malone;4
Uber.ru;4
Bristol;4
topshop;4
CS;4
PHOTODEMY;4
inglot;4
.CS.;4
AquaChudesa;4
calvinklein;4
Bridgestone;4
DEMIX;4
Pandora;4
Phone CodeG ;4
YY.COM;4
ammopay;4
2keys;4
HARIBO;4
haribo.ru;4
KIABI ;4
Webmoney.ru;4
MC.KHL.RU.;4
NOIZZ;4
pay-me.ru;4
VBR;4
Coccodrillo;4
OfficeHQ;4
Snap_Vrfy;4
IBT;4
EGlobal;4
alpha;4
BITCON;4
Bet-Boom;4
BET-BOOM;4
Bitcon;4
Paymoney;4
PayMoney;4
A.McQueen;4
Armani;4
Baccarat;4
Bentley;4
Billionaire;4
SunGrp;4
BLV;4
BOTTEGA;4
BRIONI;4
BURBERRY;4
CELINE;4
BOTIMS ;4
ConcertHall;4
CR_Baccarat;4
D&GABBANA;4
DSQUARED2;4
EmilioPucci;4
ValveVerify;4
KITON;4
La_Perla;4
Lalique;4
LANVIN;4
LORO_PIANA;4
PhoneCode;4
Zegna;4
R.CAVALLI;4
CHLOE;4
KidStoreBLV;4
TDM;4
Heptral;4
OTP_tlsgn ;4
NexmoSMS;4
Ricom;4
CloudCom;4
APPLECARE;4
Yllo;1
AbsGamers;1
AcademPoker;1
Agoda;1
AIRBNB;1
Alibaba;1
aliexpress;1
ALIPAY;1
Alpari;1
Amazon;1
APPCODE;1
Apple;1
AppleiCloud;1
AppleStore;1
Autosprite;1
Baanan;1
Badoo;1
Badoo.com;1
BANDUS;1
BangkokAir;1
BeeTalk;1
Betfair;1
Blendr;1
Blockchain;1
Bumble;1
CallsApp;1
CamScanner;1
Chappy;1
ChatOn;1
Dating.com;1
Electropay;1
ENERGOTRUCK;1
ePayService;1
Eskhata;1
EVENTUM;1
Extranet;1
Facebook;1
F-Club;1
Fiesta;1
GameNews;1
gamestore;1
GameXP;1
GitHub;1
Glopart.ru;1
Google;1
Helixmoney;1
HotorNot;1
huawei;1
Huggle;1
iCloud;1
IMO;1
Imo Code;1
instaforex;1
Instagram;1
IQ+Option;1
iTunes;1
JackpotCity;1
JD.ru;1
JoinUP;1
KakaoC;1
KakaoTalk;1
Kopikot;1
LeEco;1
LeRee;1
LINE;1
LinkApp;1
LinkedIn;1
LITB;1
Lufthansa;1
MasterCard;1
MaxiMarkets;1
Microsoft;1
MOGO;1
MS_Verify;1
MuzApp;1
NAVERLINE;1
NFC;1
NixMoney ;1
NumBuster;1
NXSMS;1
NXverify;1
OKPAY;1
OnApp;1
OnlineGames;1
ONVERIFY;1
ooVoo;1
Outbox;1
Pay Pro;1
PayBox;1
Payeer.com;1
PayLater;1
Paysystem;1
Pingdom;1
play2money;1
PlayPass;1
Quantum;1
Roamer;1
SAP;1
Skillaz;1
Skype;1
Snapchat;1
SNOW;1
SOMA;1
Stalker;1
Steam;1
Tango;1
TAOBAO;1
Telegram;1
Tencent QQ;1
Truecaller;1
Twitter;1
Uber;1
UBERRUSSIA;1
Vestiaire;1
Viber;1
VisaService;1
Wallet One;1
Wargaming;1
WeChat;1
weibo;1
WhatsApp;1
WhatsCall;1
Wire;1
WORLDTRACER;1
WstrnUnion;1
WURussia;1
Xapo;1
XBOX games;1
XGame;1
Xiaomi;1
Yahoo;1
Yolla;1
Youtube ;1
ZambaCaller;1
ZCLOUD;1
BlackLane;1
PayPal;1
VFS;1
